;Postal Code;Property Type;Room Type;Accomodates;Bathrooms;Bedrooms;Beds;Square Feet
17589;10967;0;0;4;1;1;2;631,0
17594;10439;0;0;0;0;4;10;2000,0
17595;10965;0;1;2;1;1;1;384,0
17728;10119;0;0;7;1;4;4;1807,0
17805;12051;0;0;2;1;1;1;474,0
17846;10119;0;1;1;1;1;1;161,0
18162;10965;0;1;2;2;1;1;821,0
18207;12045;0;1;2;1;1;1;105,0
18228;10961;0;0;8;1;2;5;1390,0
18320;10119;1;0;2;1;0;1;770,0
18420;0;0;0;4;1;1;2;648,0
18423;10115;0;0;4;1;1;2;652,0
18906;10405;0;1;2;1;1;2;200,0
18928;10997;0;0;4;1;1;2;452,0
19164;12623;4;0;6;3;2;6;162,0
19258;14059;0;0;3;1;1;1;486,0
19299;10407;0;0;2;1;1;1;872,0
19355;10967;0;1;2;1.5;1;1;552,0
19406;10999;0;0;4;1;1;2;331,0
19596;10963;0;1;4;1;1;3;209,0
19656;12043;0;0;3;0;2;1;352,0
19784;10967;0;1;7;2;3;3;1232,0
19824;10119;0;0;5;1.5;3;4;1205,0
19844;10405;0;1;4;1;1;2;461,0
19849;10559;0;1;3;1;1;2;652,0
19880;0;0;0;4;1;1;2;723,0
19931;10999;0;0;2;1;2;1;575,0
20043;10245;0;0;7;2;3;4;1821,0
20231;10115;0;0;2;1;1;1;700,0
20312;0;0;0;6;2;3;2;1772,0
20388;12053;1;0;3;1;1;1;431,0
20410;10777;0;0;1;1;1;1;431,0
20495;10587;0;1;2;1;1;1;461,0
20581;0;0;0;2;1;1;1;703,0
20591;10245;0;0;4;1;1;2;600,0
20729;0;0;0;4;1;1;2;20,0
20917;10435;0;1;2;1;1;1;292,0
20986;10829;0;0;4;1.5;2;2;817,0
21220;12043;0;0;6;1;3;4;612,0
21229;10115;0;0;6;1.5;2;4;142,0
21277;0;0;0;2;1;1;1;426,0
21298;10437;0;0;2;1;0;1;355,0
21338;10559;0;1;2;2;1;1;209,0
21610;10405;0;1;3;1;1;3;101,0
21624;10551;0;1;2;1;1;1;352,0
21634;0;0;0;4;1;2;4;984,0
21767;0;0;0;3;1;1;1;455,0
21776;10969;1;0;12;2;4;4;1209,0
21854;10965;0;0;10;2;5;7;1722,0
21975;10249;0;0;6;1;1;2;700,0
22026;10439;0;0;5;2;3;5;1237,0
22056;10777;0;0;4;1;2;3;931,0
22103;10119;0;1;2;1;1;1;221,0
22113;10719;0;0;2;1;1;1;433,0
22140;12047;0;1;2;1;1;1;131,0
22154;10245;0;1;2;1;1;2;595,0
22243;10965;0;0;3;1;2;2;807,0
22385;10965;0;1;3;1;1;1;715,0
22495;10623;6;0;2;1;1;1;440,0
22525;10119;0;0;4;1;2;1;1026,0
22549;12059;0;1;2;1;1;1;346,0
22586;12049;7;1;2;1;1;1;252,0
22607;10439;0;1;2;1;1;2;561,0
22724;12053;0;1;2;1;2;2;161,0
22786;10965;2;0;8;2;3;8;1839,0
22830;10967;0;1;2;1;1;2;261,0
22916;10997;2;0;3;1;4;3;806,0
22922;10179;0;0;2;1;1;1;475,0
23006;10999;0;0;3;1;1;1;800,0
23288;10119;2;0;2;1;1;1;484,0
23302;12527;4;0;4;1;2;4;672,0
23327;10437;0;0;2;1;0;1;579,0
23345;10317;4;0;8;2.5;4;9;2860,0
23407;10119;8;0;4;1;1;2;344,0
23433;10245;0;0;3;1;1;2;807,0
